area;ciudad;conglomerado;panelm;vivienda;hogar;p01;sexo;edad;p04;p05a;p05b;p06;p07;p08;p09;niveleducativo;p10b;p11;p12a;p12b;p15;p15aa;p15ab;cod_inf;p20;p21;p22;p23;p24;p25;p26;p27;p28;p29;p30;p31;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p42a;p43;p44a;p44b;p44c;p44d;p44e;p44f;p44g;p44h;p44i;p44j;p44k;p45;p46;p47a;p47b;p48;p49;p50;p51a;p51b;p51c;p52;p53;p54;p54a;p55;p56a;p56b;p57;p58;p61b1;p63;p64a;p64b;p65;p66;p67;p68a;p68b;p69;p70a;p70b;p71a;p71b;p72a;p72b;p73a;p73b;p74a;p74b;p75;p76;p77;p78;sd01;sd021;sd022;sd023;sd024;sd025;sd026;sd027;sd028;sd029;sd0210;sd0211;sd03;ced01a;estrato;factorexpancion;nnivins;ingrlaboral;ingpc;condicionlaboral;codicion_empleo;desempleo;secemp;grupo1;sectoreconomico;prov;dominio;pobreza;epobreza;upm;id_vivienda;id_hogar;id_persona;periodo;mes
1;50150;50150;52;1;1;1;1;72;1;1;10;1;2;;2;10;2;;1;50910706;6;2;60550;1;1;;;;4;1;;4;;;;;;;; ;;;;;8620;2212;6;2;;;;;;;;;;;;;45;9;1;1;3;1;1;4;;;;;;;;;;;;5;600;2;;0;;;;;;; ;2;;1;2200;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;5,288037975;5;600;1350;1;1;;1;2;17;5;6;0;0;50150000403;5,015E+17;5,015E+18;5,015E+20;202501;1
1;50150;50150;52;1;1;2;2;72;2;1;10;1;2;;1;6;6;;;;6;1;;1;2;12;2;;;;;;;;;;11;;12; ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;; ;2;;1;900;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;5,288037975;4;;1350;9;;;;;;5;6;0;0;50150000403;5,015E+17;5,015E+18;5,015E+20;202501;1
1;50150;50150;52;1;1;3;1;38;3;10;10;3;2;;2;10;2;;1;50310505;6;1;;1;1;;;;18;1;;1;1;20;7;;;;; ;;;;;8541;3422;6;2;;;;;;;;;;;;;2;6;1;1;2;1;1;18;;;;;;;;;;;;5;550;2;;200;;;;;;; ;2;;2;;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;5,288037975;5;350;1350;2;1;;1;3;16;5;6;0;0;50150000403;5,015E+17;5,015E+18;5,015E+20;202501;1
1;50150;50150;52;1;1;1;1;72;1;1;10;1;2;;2;10;2;;1;50910706;6;2;60550;1;1;;;;10;1;;4;;;;;;;; ;;;;;8620;2211;6;2;;;;;;;;;;;;;40;6;1;1;3;1;1;10;;;;;;;;;;;;5;400;2;;80;;;;;;; ;1;400;1;2000;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;5,829017674;5;320;1140;4;1;;1;2;17;5;6;0;0;50150000403;5,015E+17;5,015E+18;5,015E+20;202510;10
1;50150;50150;52;1;1;2;2;73;2;1;10;1;2;;1;6;6;;;;6;1;;1;2;12;2;;;;;;;;;;11;;12; ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;; ;2;;1;400;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;5,829017674;4;;1140;9;;;;;;5;6;0;0;50150000403;5,015E+17;5,015E+18;5,015E+20;202510;10
1;50150;50150;52;1;1;3;1;38;3;10;10;6;2;;2;10;2;;1;50310505;6;1;;1;1;;;;20;1;;2;1;20;1;4;;;; ;;;;;9319;3422;6;2;;;;;;;;;;;;;3;6;1;1;3;1;1;20;;;;;;;;;;;;5;500;2;;200;;;;;;; ;2;;2;;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;5,829017674;5;300;1140;2;1;;1;3;18;5;6;0;0;50150000403;5,015E+17;5,015E+18;5,015E+20;202510;10
1;50150;50150;52;2;1;1;1;72;1;1;10;1;2;;2;10;2;;1;50110105;6;1;;1;2;12;2;;;;;;;;;;11;;12; ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;; ;2;;1;780;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;5,829017674;5;;390;9;;;;;;5;6;0;0;50150000403;5,015E+17;5,015E+18;5,015E+20;202510;10
1;50150;50150;52;2;1;2;2;69;2;2;10;1;2;;1;6;6;;;;6;2;10150;1;2;12;2;;;;;;;;;;11;;9; ;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;; ;2;;2;;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;5,829017674;4;;390;9;;;;;;5;6;0;0;50150000403;5,015E+17;5,015E+18;5,015E+20;202510;10
1;50150;50150;52;3;1;1;1;47;1;1;10;1;2;;5;10;2;;1;50710301;6;1;;4;1;;;;40;;1;4;;;;;;;; ;;;;;1709;1321;2;;2;1;2;2;1;1;1;2;2;2;1;1;20;1;2;;;;1;40;;;;;;;;;;;;1;;;;;900;120;1;63;;; ;2;;2;;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;5,829017674;5;1083;350,6;1;1;;1;1;3;5;6;0;0;50150000403;5,015E+17;5,015E+18;5,015E+20;202510;10
1;50150;50150;52;3;1;2;2;47;2;1;10;1;2;;2;10;2;;1;50410307;6;2;180150;4;1;;;;40;;1;4;;;;;;;; ;;;;;8530;2310;2;;3;2;2;2;1;2;1;2;2;2;1;1;20;1;1;50;1;1;1;40;;;;;;;;;;;;1;;;;;600;70;2;;;; ;2;;2;;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;5,829017674;5;670;350,6;1;1;;1;2;16;5;6;0;0;50150000403;5,015E+17;5,015E+18;5,015E+20;202510;10
